"file","monitor","region_id","genotype","treatment","temp","sex","start_datetime","stop_datetime"
"Monitor25.txt","M25","6","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","7","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","8","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","9","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","10","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","11","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","12","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","13","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","14","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","15","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","16","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","17","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","18","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","19","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","20","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","21","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","22","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","23","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","24","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","25","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","26","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","27","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","28","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","29","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","30","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","31","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor25.txt","M25","32","CS","Iso_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","1","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","2","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","3","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","4","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","5","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","6","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","7","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","8","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","9","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","10","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","11","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","12","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","13","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","14","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","15","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","16","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","17","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","18","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","19","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","20","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","21","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","22","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","23","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","24","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","25","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","26","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","27","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","28","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","29","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","30","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","31","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor26.txt","M26","32","CS","Grp5_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","1","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","2","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","3","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","4","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","5","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","6","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","7","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","8","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","9","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","10","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","11","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","12","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","13","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","14","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","15","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","16","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
