"id","monitor","region_id","genotype","treatment","temp","sex","start_datetime","stop_datetime","norm_sleep_time_all","norm_sleep_time_l","norm_sleep_time_d","norm_sleep_time_ZT0_4","norm_sleep_time_ZT16_20","norm_sleep_time_ZT20_24"
"2024-06-30 10:05:00|Monitor21.txt|26","M21",26,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.00306943215115,0.865991664166396,1.11816395966831,0.538890385693181,1.15205767445249,1.20869537772163
"2024-06-30 10:05:00|Monitor21.txt|27","M21",27,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.01018676492422,1.0510415035681,0.975883924207001,0.704702812060314,0.988166624530378,0.96294403536329
"2024-06-30 10:05:00|Monitor21.txt|29","M21",29,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.16154870856482,1.23713094880914,1.09808763564616,1.35966189621049,1.12795604946394,1.0532200386786
"2024-06-30 10:05:00|Monitor21.txt|30","M21",30,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.12358960044179,1.26104188311385,1.00818061937306,1.60838053576119,0.930322724557868,0.742269360592536
"2024-06-30 10:05:00|Monitor21.txt|31","M21",31,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.989783744308093,0.94188289043788,1.03000271070149,1.22701195511678,1.06529182449372,0.832545363907844
"2024-06-30 10:05:00|Monitor21.txt|32","M21",32,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.09844169131028,1.24128937216648,0.978502575166411,1.39282438148391,0.949604024548704,0.75230002762757
"2024-06-30 10:05:00|Monitor22.txt|01","M22",1,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.13782426598792,1.20178435027173,1.08412149719597,1.27675568302692,1.14241702445707,1.01811270405598
"2024-06-30 10:05:00|Monitor22.txt|02","M22",2,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.03723262946188,1.1508436641443,0.941841461734664,1.04461828611294,0.882119474580776,1.00808203702094
"2024-06-30 10:05:00|Monitor22.txt|03","M22",3,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.01066125377576,0.912773926936489,1.09285033372734,0.406240444599475,1.16169832444791,1.01309737053846
"2024-06-30 10:05:00|Monitor22.txt|04","M22",4,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.808529003020609,0.858714423291048,0.766391847454156,0.704702812060314,0.795353624622011,0.491502684716679
"2024-06-30 10:05:00|Monitor22.txt|05","M22",5,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.758707673609128,0.884704569274433,0.652916972546365,0.596924734921678,0.660384524686155,0.551686686926885
"2024-06-30 10:05:00|Monitor22.txt|06","M22",6,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.06949787136646,1.23817055464847,0.927875323284474,1.6249617783979,1.00744792452121,0.872668032047981
"2024-06-30 10:05:00|Monitor22.txt|07","M22",7,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.26688523360624,1.35980443785071,1.18886753557239,1.41769624543898,1.1038544244754,1.20869537772163
"2024-06-30 10:05:00|Monitor22.txt|08","M22",8,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.04482445108649,1.10510100721354,0.994214480922875,1.27675568302692,1.06047149949601,1.07328137274867
"2024-06-30 10:05:00|Monitor22.txt|09","M22",9,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.25976790083317,1.4003490655848,1.141731818303,1.64154302103461,1.16169832444791,0.998051369985909
"2024-06-30 10:05:00|Monitor22.txt|10","M22",10,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.11694675652025,1.14668524078696,1.0919774500742,1.35966189621049,1.1568779994502,1.07328137274867
"2024-06-30 10:05:00|Monitor22.txt|11","M22",11,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.11599777881718,1.02920978094205,1.18886753557239,0.78760902524388,1.16169832444791,1.20869537772163
"2024-06-30 10:05:00|Monitor22.txt|12","M22",12,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.952773613888135,0.819209401396302,1.06491805682696,0.845643374472376,1.01226824951892,1.05823537219612
"2024-06-30 10:05:00|Monitor22.txt|13","M22",13,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.07756418184261,1.07495243787281,1.07975707893029,1.34308065357377,1.03636987450747,1.20869537772163
"2024-06-30 10:05:00|Monitor22.txt|14","M22",14,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.17198746329865,1.22465567873711,1.12776567985281,1.65812426367133,1.14723734945478,1.1134040408888
"2024-06-30 10:05:00|Monitor22.txt|15","M22",15,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.10888044604411,1.1186158831249,1.10070628660557,0.920258966337586,1.03154954950976,1.18863404365156
"2024-06-30 10:05:00|Monitor22.txt|16","M22",16,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.11979368962948,1.17579420428835,1.07277400970519,0.605215356240034,1.07493247448914,1.14349604199391
"2024-06-30 10:05:00|Monitor22.txt|17","M22",17,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.01825307540037,1.05000189772876,0.991595829963464,1.21872133379843,0.761611349638047,0.832545363907844
"2024-06-30 10:05:00|Monitor22.txt|18","M22",18,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.02204898621267,0.924209591169178,1.10419782121812,0.845643374472376,1.1038544244754,1.15854204254646
