"genotype","treatment","N","sleep_time_all_mean","sleep_time_all_sd","sleep_time_all_se","sleep_time_all_ci","sleep_time_l_mean","sleep_time_l_sd","sleep_time_l_se","sleep_time_l_ci","sleep_time_d_mean","sleep_time_d_sd","sleep_time_d_se","sleep_time_d_ci","sleep_time_ZT0_4_mean","sleep_time_ZT0_4_sd","sleep_time_ZT0_4_se","sleep_time_ZT0_4_ci","sleep_time_ZT16_20_mean","sleep_time_ZT16_20_sd","sleep_time_ZT16_20_se","sleep_time_ZT16_20_ci","sleep_time_ZT20_24_mean","sleep_time_ZT20_24_sd","sleep_time_ZT20_24_se","sleep_time_ZT20_24_ci"
"CS","Grp10_Box",28,1076.51906580057,120.368872703465,22.74757876904,46.6741762943552,490.302369386339,78.4465089960689,14.8249967160564,30.4183806687245,586.25,56.2437650865508,10.6290725154965,21.8090553491775,126.935388263189,52.6623300134204,9.95224490548023,20.4203198045498,211.653823355068,21.3938104049035,4.04305013767434,8.29565365214003,208.061647895673,23.163574230841,4.37750406358497,8.9818964236801
"CS","Grp25_Vial",32,1081.96806664353,150.827064242132,26.6627099780176,54.3789555175345,515.470159611381,83.7782214055979,14.8100371179116,30.2052698436105,566.515625,85.9279972751943,15.1900673917673,30.980346697177,131.576763485477,44.3470144173675,7.83951865497454,15.9888037100961,203.278008298755,32.1338895881531,5.68052280842072,11.5855026503355,190.892116182573,40.9120132578879,7.23229050166162,14.7503537263839
"CS","Grp25F_Vial",28,1000.47404175138,148.539349628227,28.071298501683,57.5975469029805,432.610290472886,103.682253463541,19.5941041453783,40.20378082858,567.910714285714,59.8521408960554,11.3109914461258,23.2082374208084,113.918197984588,50.2005152104913,9.48700563816251,19.4657276784024,212.791938352104,23.0477271757489,4.3556110280212,8.93697562521196,192.270302311796,33.5351083029092,6.33753976850822,13.0035574964326
"CS","Grp5_Box",25,1105.19625130163,90.131714050086,18.0263428100172,37.2045429970082,509.746009715475,78.9580888781221,15.7916177756244,32.5922972128908,595.48,40.4275277502842,8.08550555005684,16.6876632747977,118.546058091286,52.7616659326357,10.5523331865271,21.778945285493,210.403319502075,20.3612694015974,4.07225388031949,8.40471892617553,211.717842323651,18.4993381677868,3.69986763355735,7.63615148711311
"CS","Grp50_Vial",29,1002.84144633688,125.945243430608,23.3874445706379,47.907008486835,454.959917681687,73.6613169291721,13.6785631577296,28.0192664617907,547.913793103448,67.5828947300907,12.5498284918883,25.7071583110894,109.612247818,38.1443019692858,7.08321905371411,14.5093164965281,194.843325225354,29.3012692786224,5.44110910771065,11.1456067555217,189.864072113321,28.2363302818234,5.24335490056213,10.7405256252786
"CS","Iso_Box",29,1059.2011873272,123.316755123494,22.8993465455539,46.9071850063568,502.306348560626,89.3636995349868,16.5944224059018,33.9921333702163,556.913793103448,59.4838016614483,11.0458646655793,22.6264280682764,128.430390613822,51.6201514034313,9.5856214716108,19.6352554809934,198.998426098154,28.550422486629,5.30168035875228,10.8599999103837,194.328230075833,30.3328646936543,5.63267156716689,11.5380046655717
"CS","Iso_Vial",28,1109.00778499529,93.6961290966264,17.7069040285055,36.3315660380752,514.731833052444,73.5573738183565,13.9010370155989,28.5225719593279,594.303571428571,47.9730517111033,9.06605460431578,18.6020075012117,120.035566093657,44.7714427071996,8.46100737434474,17.3605531308453,214.534676941316,20.4725269365243,3.86894392736531,7.93841721671923,198.60106698281,26.6684047409273,5.03985477195069,10.3409278197172
