"id","monitor","region_id","genotype","treatment","temp","sex","start_datetime","stop_datetime","sleep_fraction","sleep_fraction_all","sleep_time_all","sleep_fraction_l","sleep_time_l","sleep_fraction_d","sleep_time_d","sleep_fraction_ZT0_4","sleep_time_ZT0_4","sleep_fraction_ZT16_20","sleep_time_ZT16_20","sleep_fraction_ZT20_24","sleep_time_ZT20_24","Day1_latency","Day1_first_bout_length","Day1_latency_to_longest_bout","Day2_latency","Day2_first_bout_length","Day2_latency_to_longest_bout","n_bouts_L","mean_bout_length_L","n_bouts_D","mean_bout_length_D"
"2024-06-30 10:05:00|Monitor21.txt|02","M21",2,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.701839639014231,0.701839639014231,1010.64908018049,0.745315752949341,536.627342123525,0.658333333333333,474,0.576763485477178,138.423236514523,0.788381742738589,189.211618257261,0.630705394190871,151.369294605809,3060,360,30180,660,780,13860,36.5,20.2739726027397,22.5,29.9777777777778
"2024-06-30 10:05:00|Monitor21.txt|03","M21",3,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.604998264491496,0.604998264491496,871.197500867754,0.437890353920888,315.28105482304,0.772222222222222,556,0.195020746887967,46.804979253112,0.788381742738589,189.211618257261,0.684647302904564,164.315352697095,6540,360,9720,4860,300,36480,48.5,14.7010309278351,30,22.2333333333333
"2024-06-30 10:05:00|Monitor21.txt|04","M21",4,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.734120097188476,0.734120097188476,1057.13293995141,0.696738376127689,501.651630811936,0.771527777777778,555.5,0.336099585062241,80.6639004149378,0.871369294605809,209.128630705394,0.904564315352697,217.095435684647,4620,360,20820,7260,840,19020,28,26.3035714285714,22,29.6363636363636
"2024-06-30 10:05:00|Monitor21.txt|05","M21",5,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.786532454009025,0.786532454009025,1132.606733773,0.668979875086745,481.665510062457,0.904166666666667,651,0.323651452282158,77.6763485477179,0.900414937759336,216.099585062241,0.912863070539419,219.087136929461,1440,420,25980,6240,720,17760,34.5,21.2898550724638,11.5,59
"2024-06-30 10:05:00|Monitor21.txt|06","M21",6,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.838250607427976,0.838250607427976,1207.08087469629,0.829285218598196,597.085357390701,0.847222222222222,610,0.551867219917012,132.448132780083,0.850622406639004,204.149377593361,0.91701244813278,220.082987551867,1380,360,16080,780,300,22560,34,21.4852941176471,15.5,43.7096774193548
"2024-06-30 10:05:00|Monitor21.txt|07","M21",7,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.81673030197848,0.81673030197848,1176.09163484901,0.852185981956974,613.573907009022,0.78125,562.5,0.70954356846473,170.290456431535,0.87551867219917,210.124481327801,0.726141078838174,174.273858921162,1020,1260,20580,1740,300,10320,19,36.7631578947368,22.5,31.9777777777778
"2024-06-30 10:05:00|Monitor21.txt|09","M21",9,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.840680319333565,0.840680319333565,1210.57965984033,0.813324080499653,585.59333795975,0.868055555555556,625,0.50207468879668,120.497925311203,0.966804979253112,232.033195020747,0.809128630705394,194.190871369295,5400,660,16080,2940,420,8640,18,39.0833333333333,14,50.2142857142857
"2024-06-30 10:05:00|Monitor21.txt|10","M21",10,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.769524470669906,0.769524470669906,1108.11523776466,0.626648160999306,451.1866759195,0.9125,657,0.369294605809129,88.6307053941909,0.925311203319502,222.074688796681,0.788381742738589,189.211618257261,7260,600,20940,9180,300,19440,35,17.4571428571429,15,51.8666666666667
"2024-06-30 10:05:00|Monitor21.txt|11","M21",11,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.726136758070115,0.726136758070115,1045.63693162097,0.661346287300486,476.16932685635,0.790972222222222,569.5,0.385892116182573,92.6141078838174,0.921161825726141,221.078838174274,0.921161825726141,221.078838174274,1800,300,24240,4260,300,23340,30,25.85,23.5,26.7234042553191
"2024-06-30 10:05:00|Monitor21.txt|13","M21",13,"CS","Iso_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.729954876778896,0.729954876778896,1051.13502256161,0.659958362248439,475.170020818876,0.8,576,0.580912863070539,139.419087136929,0.950207468879668,228.04979253112,0.83402489626556,200.165975103734,3540,660,23160,2340,780,19200,37,19.5540540540541,26,26.3653846153846
